graph,time1,msg1,time2,msg2
/Users/zhangwenqian/UNSW/3901/core_de/graphs_small/ca-AstroPh.txt,2030,2567,2099,2567
/Users/zhangwenqian/UNSW/3901/core_de/graphs_small/ca-CondMat.txt,1082,2567,1297,2567
