graph,time1,msg1,time2,msg2
/Users/zhangwenqian/UNSW/3901/core_de/graphs_small/ca-AstroPh.txt,11439,1748291,9569,806495
/Users/zhangwenqian/UNSW/3901/core_de/graphs_small/ca-CondMat.txt,5429,603628,3946,251549
